id_article,author,year
journals/alife/KingAZP15,Klaus-Peter Zauner,2015
journals/alife/KingAZP15,Maurits R. R. de Planque,2015
journals/alife/LuoHKHRYXZY18,Tian-tong Luo,2018
journals/alife/LuoHKHRYXZY18,Lise Heier,2018
journals/alife/LuoHKHRYXZY18,Zaki Ahmad Khan,2018
journals/alife/LuoHKHRYXZY18,Faraz Hasan,2018
journals/alife/LuoHKHRYXZY18,Trond Reitan,2018
journals/alife/LuoHKHRYXZY18,Abdool S. Yasseen III,2018
journals/alife/LuoHKHRYXZY18,Zi-xuan Xie,2018
journals/alife/LuoHKHRYXZY18,Jian-long Zhu,2018
journals/alife/LuoHKHRYXZY18,Gabriel Yedid,2018
journals/alife/ErbasBW15,Mehmet Dinçer Erbas,2015
journals/alife/ErbasBW15,Larry Bull,2015
journals/alife/ErbasBW15,Alan F. T. Winfield,2015
journals/alife/Hamann15,Heiko Hamann,2015
journals/alife/AckleyA16,David H. Ackley,2016
journals/alife/AckleyA16,Elena S. Ackley,2016
journals/alife/FuW0Y19,Qinbing Fu,2019
journals/alife/FuW0Y19,Hongxin Wang,2019
journals/alife/FuW0Y19,Cheng Hu 0006,2019
journals/alife/FuW0Y19,Shigang Yue,2019
journals/alife/RieffelMBH17,John Rieffel,2017
journals/alife/RieffelMBH17,Jean-Baptiste Mouret,2017
journals/alife/RieffelMBH17,Nicolas Bredèche,2017
journals/alife/RieffelMBH17,Evert Haasdijk,2017
journals/alife/Penn17,Alexandra S. Penn,2017
journals/alife/Sayama19,Hiroki Sayama,2019
journals/alife/SinghAPBL18,Karandeep Singh,2018
journals/alife/SinghAPBL18,Chang-Won Ahn,2018
journals/alife/SinghAPBL18,Euihyun Paik,2018
journals/alife/SinghAPBL18,Jang Won Bae,2018
journals/alife/SinghAPBL18,Chun-Hee Lee,2018
journals/alife/AmosRMD15,Martyn Amos,2015
journals/alife/AmosRMD15,Steen Rasmussen,2015
journals/alife/AmosRMD15,John S. McCaskill,2015
journals/alife/AmosRMD15,Peter Dittrich,2015
journals/alife/Penn18a,Alexandra S. Penn,2018
journals/alife/WitkowskiI19,Olaf Witkowski,2019
journals/alife/WitkowskiI19,Takashi Ikegami,2019
journals/alife/WeinersmithWW18,Zach Weinersmith,2018
journals/alife/WeinersmithWW18,Kelly Weinersmith,2018
journals/alife/WeinersmithWW18,Michael J. Wiser,2018
journals/alife/AgmonEV18,Eran Agmon,2018
journals/alife/AgmonEV18,Matthew D. Egbert,2018
journals/alife/AgmonEV18,Nathaniel Virgo,2018
journals/alife/Boden15,Margaret A. Boden,2015
journals/alife/ScheperTVC16,Kirk Y. W. Scheper,2016
journals/alife/ScheperTVC16,Sjoerd Tijmons,2016
journals/alife/ScheperTVC16,Cornelis C. de Visser,2016
journals/alife/ScheperTVC16,Guido C. H. E. de Croon,2016
journals/alife/MasumoriSMMBFTI20,Atsushi Masumori,2020
journals/alife/MasumoriSMMBFTI20,Lana Sinapayen,2020
journals/alife/MasumoriSMMBFTI20,Norihiro Maruyama,2020
journals/alife/MasumoriSMMBFTI20,Takeshi Mita,2020
journals/alife/MasumoriSMMBFTI20,Douglas J. Bakkum,2020
journals/alife/MasumoriSMMBFTI20,Urs Frey,2020
